"PID","CHOSEN","GENDER","AGE","WORK","GRAD","DIET","STUDENT","MARRIED","DELIV","FACEBOOK","TWITTER","INSTA","INCOME","KIDS","ALONE","REGION","DENSIT","FREQ","SNOB","PRICE_STA","KNOWN_STA","TASTE_STA","AMB_STA","SPEED_STA","MENU_STA","APP_STA","ADV_STA","PRICE_DUN","KNOWN_DUN","TASTE_DUN","AMB_DUN","SPEED_DUN","MENU_DUN","APP_DUN","ADV_DUN","PRICE_PEET","KNOWN_PEET","TASTE_PEET","AMB_PEET","SPEED_PEET","MENU_PEET","APP_PEET","ADV_PEET","PRICE_CAR","KNOWN_CAR","TASTE_CAR","AMB_CAR","SPEED_CAR","MENU_CAR","APP_CAR","ADV_CAR","UNO"
32,2,2,52,1,2,1,1,2,1,1,1,1,2,2,2,2,1,1,1,6.19,1,3,3,4,3,3,1,3.04,1,3,4,5,4,3,4,6.01,1,3,2,5,3,4,2,4.48,1,2,3,3,5,4,4,1
33,2,2,62,1,2,4,3,3,1,1,1,1,3,1,2,4,1,1,3,6.02,1,1,4,3,4,5,1,2.7,1,5,4,2,3,2,4,5.19,2,3,5,5,3,5,5,4.06,1,3,5,2,3,5,4,1
34,3,2,74,2,2,1,2,1,1,1,2,1,2,1,2,1,2,2,1,5.41,1,3,2,3,2,3,3,3.13,1,3,4,4,5,1,2,3.61,1,4,4,2,3,4,1,4.78,2,1,2,4,3,5,3,1
35,2,1,63,1,3,1,1,2,2,2,2,1,2,1,2,4,1,2,1,5.72,1,3,4,4,4,3,2,3.38,1,3,2,5,1,3,4,5.56,1,1,4,2,4,2,3,5.3,1,2,3,2,5,5,3,1
36,3,1,30,2,1,2,1,2,2,1,2,2,2,1,2,4,2,2,3,5.68,1,2,5,2,1,3,1,3.62,1,3,2,4,1,3,3,5.27,2,5,1,1,5,5,3,4.68,1,4,3,4,3,3,3,1
37,1,2,74,1,1,1,2,1,2,2,1,2,1,1,2,1,1,1,2,5.04,1,5,5,2,2,3,2,3.1,1,4,3,3,3,3,3,4.24,1,4,5,1,4,3,3,4.28,1,5,5,3,4,3,2,1
38,4,1,70,2,3,1,1,2,1,1,1,1,1,1,2,1,1,2,3,5.28,2,4,5,2,2,5,2,2.9,1,4,1,4,4,2,4,5.12,2,4,3,2,3,3,2,4.48,2,4,5,5,3,3,5,1
39,1,1,62,2,1,4,1,2,2,1,2,2,1,2,2,3,1,1,2,5.5,1,5,5,3,3,3,2,2.86,1,5,3,3,2,1,4,4.76,1,3,1,4,3,3,2,4.38,1,2,4,4,4,3,3,1
40,3,1,63,2,2,1,1,2,2,1,1,2,1,2,1,4,1,1,1,5.4,1,3,3,3,3,3,4,3.22,1,4,1,4,5,5,2,4.68,2,4,3,5,4,3,2,5.16,2,3,5,5,3,1,3,1
41,1,1,35,3,1,1,2,1,1,1,2,2,3,1,2,1,1,1,2,5.23,1,3,2,1,3,2,3,2.78,2,4,3,3,4,2,3,5.56,2,5,2,3,4,2,3,4.99,2,4,3,1,4,4,2,1
42,2,1,37,1,1,1,1,2,1,2,2,2,1,1,2,4,1,2,4,5,1,4,3,3,3,2,2,1.89,1,5,5,2,3,3,3,5,1,4,5,2,1,5,4,3.99,1,5,3,3,2,3,4,1
43,2,1,49,1,2,1,1,2,2,1,1,2,1,1,2,3,1,1,2,5.5,2,3,5,5,2,5,3,3.32,1,4,5,3,3,5,2,5.85,1,3,4,3,3,4,3,5.45,1,4,2,5,3,4,2,1
44,1,1,69,1,2,1,1,2,1,1,2,1,2,2,2,4,2,1,1,5.1,1,5,4,5,4,3,3,2.29,1,3,4,3,4,4,2,4.55,2,5,2,3,4,3,4,4.77,2,4,2,5,5,2,3,1
45,3,1,60,1,2,1,1,2,1,1,2,1,2,1,2,2,2,2,2,5.53,1,3,4,4,3,3,2,3.52,1,2,3,2,4,4,1,5.48,2,4,5,5,4,4,2,4.52,1,3,4,5,3,2,5,1
46,2,1,25,1,2,1,1,1,1,2,1,2,1,2,2,1,3,2,1,5.29,1,4,4,3,1,1,2,3.3,1,3,4,1,3,4,5,5.07,1,4,3,2,5,5,4,4.6,2,3,1,3,4,4,1,1
47,1,1,64,1,2,1,2,2,2,1,1,1,2,1,2,4,1,1,3,4.85,1,5,4,4,3,3,2,2.85,1,4,4,3,3,3,3,6.26,1,3,4,4,2,5,5,5.35,2,3,5,4,1,2,3,1
48,2,1,25,2,2,1,1,2,2,1,1,1,1,2,2,3,1,2,2,5.33,1,4,4,3,3,1,1,3.53,1,4,4,5,3,5,3,5.89,1,4,2,2,5,5,3,5.2,1,3,4,4,4,3,5,1
49,3,1,32,1,2,2,1,2,2,2,1,1,2,1,1,2,1,2,1,5.55,1,2,1,4,4,3,4,2.41,1,3,4,2,3,4,4,5.02,2,4,4,1,2,2,2,4.29,2,2,5,5,5,3,3,1
50,3,2,50,1,3,1,1,2,1,1,2,1,1,1,2,3,1,1,2,5.57,1,3,5,3,4,5,2,3.26,1,3,3,3,3,3,3,5.49,1,5,4,5,2,5,4,4.47,2,4,4,4,4,4,2,1
51,2,1,38,1,2,1,1,2,1,2,2,2,2,1,2,3,2,2,2,5.48,1,4,3,4,4,4,3,3.36,1,5,1,4,2,3,3,5.62,1,5,3,4,4,5,3,4.51,1,1,4,4,4,4,5,1
52,2,1,67,2,3,4,1,1,1,2,1,2,2,1,2,4,1,1,1,6.48,1,3,2,3,5,2,2,3.64,2,5,5,3,4,3,3,5.38,1,3,3,3,2,5,3,4.46,1,4,1,2,3,5,3,1
53,2,2,58,1,3,1,1,1,2,2,1,2,3,1,2,3,1,2,2,4.35,1,3,3,2,2,2,4,2.49,1,4,5,2,4,2,4,4.67,1,3,2,3,4,3,5,4.45,2,4,4,1,4,5,2,1
54,2,1,61,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,6.22,2,4,3,4,1,1,3,2.64,1,4,3,4,3,3,4,5.16,2,5,3,5,4,5,2,3.98,1,2,5,3,4,4,2,1
55,4,2,34,3,1,1,1,2,1,2,1,2,3,2,2,4,2,1,2,4.98,1,2,5,4,5,3,4,3.16,1,5,1,3,3,3,3,5.63,2,5,4,3,4,3,4,4,2,5,3,1,3,4,3,1
56,2,1,62,1,1,4,1,2,2,1,1,2,2,1,1,3,1,1,1,5.52,1,4,2,2,4,1,2,3.67,1,3,3,5,3,5,3,4.63,2,5,3,3,4,3,1,3.48,2,3,1,3,4,3,1,1
57,2,1,65,1,2,1,1,2,2,2,2,1,2,1,2,4,1,2,2,5.18,2,2,3,3,4,1,4,2.14,2,3,5,4,4,3,2,4.28,1,5,5,3,4,5,1,4.18,2,3,4,4,4,2,3,1
58,4,2,50,1,1,1,1,2,1,1,2,1,2,1,2,4,3,2,3,5.21,1,5,5,1,5,3,4,3,1,5,2,1,2,1,2,4.9,2,4,3,4,5,1,5,4.36,1,3,4,3,2,3,3,1
59,2,2,70,3,3,4,1,2,2,2,1,1,2,1,2,4,1,1,2,6.11,1,4,5,3,5,4,3,3.28,1,4,5,3,2,3,3,5.13,1,1,2,2,3,2,3,4.07,1,4,4,4,4,3,3,1
60,2,1,40,1,2,1,1,2,1,1,1,2,2,1,1,2,1,2,4,5.35,1,4,2,1,3,4,5,3.52,2,2,5,2,3,5,5,5.16,1,3,3,4,4,2,3,4.53,1,3,2,4,4,4,3,1
61,2,2,23,2,1,1,2,2,1,2,1,2,3,2,2,1,3,1,2,5.1,1,4,5,3,4,4,3,3.25,1,3,3,4,4,5,2,5.41,1,4,4,5,3,2,2,4.43,2,5,5,2,4,4,2,1
62,2,1,34,2,1,1,1,1,1,1,1,1,2,1,2,4,1,1,1,5.79,1,2,3,4,3,4,3,2.78,1,3,5,5,2,4,3,4.76,2,4,4,3,4,4,4,4.88,1,3,4,3,3,4,2,1
63,1,1,45,2,2,4,1,1,1,1,1,1,3,1,1,2,1,1,2,5.15,1,3,3,4,3,3,3,3.13,1,4,5,4,2,4,3,5.19,1,4,5,3,2,2,4,5.24,1,4,2,3,3,2,1,1
64,4,1,55,2,2,1,1,3,2,1,2,1,1,2,1,4,3,1,2,4.83,1,3,3,3,5,1,4,2.98,1,4,4,4,3,3,2,4.44,2,3,3,3,5,2,3,4.44,2,5,3,5,2,3,3,1
65,2,2,21,1,2,3,2,2,1,1,2,2,1,2,2,3,1,2,1,5.77,2,4,4,2,4,4,2,4.02,1,5,1,4,4,5,3,5.27,1,1,4,4,3,1,3,4.5,1,3,3,2,3,3,5,1
66,2,1,27,1,2,2,2,2,1,1,2,1,3,2,2,2,1,2,3,4.99,1,5,4,4,5,3,3,3.29,1,3,2,1,4,4,4,4.9,1,3,4,5,1,3,3,4.31,2,3,5,3,3,4,2,1
67,2,2,46,1,2,1,1,2,1,1,2,1,2,1,2,4,3,1,1,5.08,2,4,3,2,2,3,4,2.73,1,4,3,2,4,1,2,5.15,1,4,4,3,4,5,4,5.26,2,1,2,3,4,3,5,1
68,2,2,64,2,1,1,1,2,1,1,1,2,1,2,2,1,1,2,1,5.86,1,4,5,2,3,2,2,2.87,1,3,3,3,5,1,1,5.1,1,3,4,4,5,3,4,4.98,1,4,5,3,5,3,2,1
69,2,2,40,2,2,4,1,1,2,2,2,2,2,1,1,2,1,1,2,5.61,1,4,5,2,4,3,4,3.5,1,5,4,4,2,3,3,5.79,1,4,4,3,3,3,1,4.76,1,4,5,5,1,2,4,1
70,2,1,19,2,2,3,2,2,1,1,2,1,1,2,2,2,1,1,1,5.15,1,4,3,4,3,5,5,3.45,1,5,3,4,4,3,4,5.54,1,4,2,1,4,3,3,4.79,1,3,5,4,4,3,5,1
71,2,2,45,1,1,1,2,1,1,2,2,1,1,1,2,2,1,2,3,4.67,2,4,4,2,2,3,3,2.89,1,5,4,3,4,3,4,4.41,1,4,4,2,3,3,3,4.66,2,5,5,3,4,3,2,1
72,2,2,24,1,2,1,2,2,2,2,2,1,1,2,2,3,1,2,4,5.83,1,2,4,4,5,3,2,1.9,2,5,3,2,4,3,2,4.59,2,4,4,3,3,4,5,5.38,1,3,4,3,3,3,2,1
73,2,2,35,2,1,2,3,3,1,2,1,1,1,1,2,1,1,2,2,6,1,2,4,3,3,5,1,3.11,1,3,4,5,4,5,4,5.52,2,5,4,5,2,5,3,5.18,2,5,4,5,4,4,3,1
74,1,1,58,1,3,1,1,2,1,1,2,1,2,1,2,3,1,2,3,5.07,1,1,5,3,4,5,5,3.37,1,4,5,4,4,5,3,4.91,2,5,4,4,4,4,4,4.24,2,3,5,5,1,3,5,1
75,1,1,18,2,2,1,2,2,2,1,1,2,3,2,2,4,1,1,1,4.7,1,4,3,5,2,5,1,3.47,1,3,4,3,3,5,2,3.92,1,3,4,3,4,3,1,3.49,2,5,5,4,3,5,2,1
76,3,1,28,2,1,2,1,3,1,1,1,2,3,2,1,1,2,1,2,6.13,1,3,4,4,5,4,2,2.64,1,2,5,4,3,1,5,5.09,1,4,4,5,4,5,2,4.01,1,4,5,3,3,2,1,1
77,1,1,25,2,1,1,1,1,1,1,1,1,1,2,2,3,1,1,3,5.9,1,4,5,2,3,3,3,3.2,1,4,5,3,3,3,4,5.09,1,4,2,2,2,4,3,4.23,2,4,5,4,5,3,3,1
78,2,2,67,1,3,2,1,2,1,1,2,1,3,1,1,3,2,2,2,5.91,1,5,4,5,3,3,3,3.08,1,4,5,5,2,2,4,5.53,1,4,4,3,1,4,3,3.86,1,2,4,2,2,3,4,1
79,2,1,31,1,2,1,1,2,2,1,2,1,1,1,1,1,3,1,1,4.77,2,5,5,4,1,5,1,3.42,1,5,3,3,4,5,2,4.97,1,5,4,4,4,5,5,3.91,2,2,4,4,3,2,2,1
80,1,1,25,2,1,1,1,2,2,1,2,1,2,2,2,2,3,2,2,5.71,1,4,4,3,1,2,5,3.24,2,3,4,3,4,1,1,4.87,1,3,2,2,3,5,1,4.19,1,5,5,3,4,5,4,1
81,2,1,25,1,3,1,1,1,1,1,2,1,2,2,2,1,2,1,2,5.25,1,2,3,4,3,3,3,2.67,1,3,4,3,2,4,3,5.31,2,2,3,3,5,4,4,4.11,2,5,4,3,3,4,5,1
82,3,2,24,2,2,1,2,1,1,2,1,1,3,2,1,3,2,1,3,6.22,1,3,4,4,4,4,5,3.01,1,5,3,1,4,1,3,5.38,2,4,4,3,4,5,5,4.59,1,5,3,3,4,4,2,1
83,2,1,69,2,2,1,1,1,1,1,1,1,1,2,2,3,1,1,1,5.52,1,3,5,4,4,3,3,2.19,1,4,5,4,3,5,3,5.46,1,3,5,4,3,4,3,4.31,2,1,2,5,2,4,3,1
84,2,2,67,1,2,1,1,2,1,2,2,1,2,2,2,3,3,2,1,5.9,1,3,5,4,3,2,4,3.05,1,4,3,3,3,3,1,5.99,1,1,3,5,4,5,4,4.94,1,4,4,3,5,4,3,1
85,2,1,25,2,1,1,1,2,1,2,1,1,2,2,2,2,1,1,2,5.44,1,3,4,4,3,2,1,3.34,1,5,1,2,4,5,2,5.51,1,3,4,3,2,2,4,4.27,2,4,1,1,5,4,1,1
86,2,1,26,1,2,4,1,2,1,1,2,2,2,2,1,1,3,1,2,6.48,1,3,3,4,5,4,3,2.92,1,3,5,4,5,5,2,5.02,1,3,4,5,2,4,3,4.43,2,3,4,4,3,3,4,1
87,1,2,55,3,3,1,1,1,2,2,2,2,3,1,1,1,1,1,2,4.77,1,2,5,3,4,4,3,2.47,1,3,4,2,4,5,3,4.88,2,3,4,5,3,3,3,4.52,2,3,5,4,2,5,3,1
88,2,2,60,2,2,4,1,1,2,1,2,1,2,2,2,3,2,2,3,4.93,1,3,5,4,1,5,3,2.54,1,4,5,3,4,3,2,4.76,1,1,3,4,5,2,3,4.28,2,4,3,1,3,4,2,1
89,1,2,65,2,3,3,1,1,1,1,1,1,2,2,2,2,3,2,2,4.97,1,4,5,4,3,4,3,3.12,1,3,4,3,3,3,1,5.34,1,4,3,4,3,4,3,3.97,1,2,5,5,4,3,5,1
90,1,1,59,3,1,1,1,2,2,1,2,1,3,1,2,2,1,2,3,5.62,1,5,4,3,5,3,4,2.83,1,4,5,1,3,2,5,5.3,1,4,4,3,3,4,4,4.4,1,4,5,2,4,3,3,1
91,3,1,54,1,2,3,1,3,1,2,2,1,2,2,2,2,2,1,1,4.97,1,2,2,2,4,5,4,3.41,1,4,1,5,4,2,4,4.43,1,5,4,4,3,4,2,4.85,2,3,3,3,3,3,2,1
92,2,2,73,2,1,1,1,3,2,1,1,1,1,1,2,4,1,1,2,5.87,2,4,5,3,3,5,4,2.82,1,4,3,3,4,5,3,4.75,1,5,4,3,4,5,3,4.68,1,3,4,4,3,2,1,1
93,1,1,69,2,1,4,1,1,1,1,2,2,2,1,2,1,3,1,4,5.35,1,5,5,3,4,4,4,2.79,1,4,4,1,2,5,3,5.07,2,5,5,4,3,5,3,4.56,2,4,5,4,4,2,3,1
94,2,2,26,1,1,1,1,2,1,1,1,1,2,2,2,4,3,2,4,5.54,1,4,4,2,3,5,2,2.5,1,5,4,3,2,3,4,5.23,1,4,5,3,4,2,2,4.37,2,4,4,4,1,3,1,1
95,1,1,20,1,2,1,2,2,2,2,2,1,2,2,1,2,2,1,3,4.74,1,5,5,4,4,2,1,2.54,2,3,4,4,4,3,3,5.06,1,4,5,1,4,4,4,4.52,1,4,2,3,4,3,4,1
96,3,1,51,1,2,1,1,2,1,1,2,1,2,2,1,1,2,1,4,5.55,1,3,4,4,2,2,3,2.01,1,3,5,4,4,5,3,4.44,2,4,5,3,2,4,4,4.18,2,3,3,4,4,3,5,1
97,2,2,52,2,1,4,1,2,2,1,2,2,1,1,2,4,1,2,1,5.31,1,3,3,2,4,2,3,2.99,1,4,2,4,5,3,2,4.22,1,4,4,4,3,4,3,4.1,2,4,4,2,5,4,2,1
98,3,1,18,2,1,4,2,1,1,1,2,1,2,2,1,4,2,1,1,5.42,1,2,4,3,4,2,5,3.1,1,1,4,4,3,5,2,4.49,1,5,1,2,4,2,4,3.57,1,4,4,1,4,3,3,1
99,1,1,57,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,2,6.15,1,5,5,3,4,1,2,2.81,2,2,1,4,3,4,3,4.52,2,5,2,3,4,4,2,5.32,2,2,3,4,4,3,3,1
100,1,1,20,2,2,1,2,1,2,1,2,1,1,2,1,4,2,1,2,4.77,1,3,4,3,3,3,3,3.38,1,3,2,1,4,3,4,4.85,1,3,4,5,5,4,2,4.74,1,5,4,4,3,3,2,1
101,2,2,49,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,3,5.11,2,3,4,3,4,5,3,2.85,1,5,5,4,3,1,1,5.68,1,4,3,2,3,2,1,4.77,2,3,5,3,4,2,4,1
102,3,1,23,1,2,4,2,1,2,1,2,2,3,2,1,2,1,1,3,6.09,1,4,4,5,3,3,4,3.55,1,4,5,4,2,4,3,4.5,1,5,5,4,4,4,3,4.8,2,3,4,3,4,1,2,1
103,1,1,57,1,1,4,1,1,1,1,1,1,3,2,2,3,2,1,1,5.77,1,4,4,1,2,3,4,2.87,1,1,5,2,4,5,2,4.85,2,3,4,2,5,3,4,5.07,2,4,5,3,3,3,2,1
104,1,2,32,1,2,4,1,1,2,2,2,1,1,2,2,3,2,1,2,5.2,1,4,3,3,5,5,3,2.77,1,3,5,2,4,3,3,4.8,2,3,3,4,5,3,2,4.03,2,3,5,4,5,2,3,1
105,3,1,34,1,3,3,1,1,1,1,1,1,1,1,1,4,2,2,3,5.8,2,3,5,3,4,3,4,3.22,2,3,2,3,4,3,2,4.75,1,5,4,4,4,1,5,3.7,2,3,5,2,3,5,5,1
106,2,2,48,3,1,1,1,2,2,1,2,1,1,1,1,1,3,2,2,5.96,1,4,1,4,3,5,2,3.22,1,4,3,2,3,3,3,4.91,2,5,5,4,3,3,1,4.4,1,4,3,3,3,4,3,1
107,3,2,37,1,2,1,1,1,1,2,2,2,2,1,2,1,2,1,2,5.31,1,3,1,3,3,5,4,3.47,1,1,3,5,4,3,4,4.43,1,5,4,3,4,5,4,4.59,1,5,4,3,3,4,3,1
108,2,2,36,1,1,1,1,2,2,1,2,1,2,1,1,2,3,2,2,5.84,1,2,5,5,2,4,4,3.66,1,4,5,3,5,4,3,5.19,2,3,5,3,4,3,4,4.5,1,5,4,5,4,4,3,1
109,4,1,35,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,5.88,1,4,4,5,4,4,5,2.49,1,3,5,4,4,3,3,5,1,3,5,1,5,4,4,4.57,1,5,4,4,5,5,3,1
110,2,1,52,1,2,1,1,2,1,1,1,2,1,1,1,3,2,1,2,4.76,1,3,5,2,3,4,4,2.76,2,4,4,4,3,3,3,4.38,2,3,3,4,3,1,4,4.75,1,4,5,3,1,3,1,1
111,1,2,72,1,2,4,1,1,2,2,1,2,2,1,2,1,1,1,3,5.15,1,5,4,3,4,5,2,3,1,3,1,5,5,5,5,5.75,2,5,1,2,3,5,3,4.56,2,3,5,1,4,5,1,1
112,4,1,33,2,2,4,2,2,1,1,2,1,3,1,2,4,1,1,2,6,1,3,1,2,3,2,1,2.61,1,1,5,4,5,4,5,4.85,2,3,4,3,5,4,3,3.5,2,5,5,4,4,5,3,1
113,2,1,46,1,1,4,1,1,2,1,2,1,3,2,2,3,1,1,2,5.22,1,3,4,5,3,3,5,4.07,1,4,5,2,4,5,3,4.93,1,4,3,3,3,5,5,4.08,2,5,4,4,2,4,4,1
114,2,2,28,1,1,3,1,2,1,2,2,1,1,2,1,1,1,2,3,5.5,1,4,4,3,4,5,2,3.54,1,4,5,5,4,2,4,5.47,1,4,1,5,3,3,3,4.13,2,3,4,3,5,4,2,1
115,3,2,22,1,2,4,2,1,1,2,2,1,3,2,1,3,3,1,1,5.13,1,5,3,2,2,2,5,2.71,1,5,5,2,3,3,4,4.58,1,5,4,2,3,5,3,4.34,1,3,4,1,3,4,2,1
116,2,1,29,3,1,1,1,1,2,1,2,2,2,2,2,1,3,2,2,5.56,1,3,1,3,4,1,3,2.63,2,5,3,2,4,2,3,4.77,1,5,3,3,4,3,3,4.58,2,5,4,3,3,2,4,1
